Date,Open,High,Low,Close,Adj Close,Volume
2016-01-22,72.780922,74.017784,72.772835,73.379143,58.037205,1594369
2016-01-25,73.290215,74.276474,72.748589,72.886017,57.647179,776094
2016-01-26,73.055779,74.430077,72.813255,74.421989,58.862003,1205457
2016-01-27,74.098625,74.211800,73.120453,73.686340,58.280174,920575
2016-01-28,73.443817,74.114792,70.008087,70.282944,55.975235,2350300
2016-01-29,71.139854,72.085693,69.490700,71.511719,56.953869,3725720
2016-02-01,70.743736,71.827003,70.396118,71.010506,56.554691,1824080
2016-02-02,70.735649,72.514145,68.690376,68.908653,54.880711,2069501
2016-02-03,69.337105,69.878738,68.367020,69.611961,55.440849,1045389
2016-02-04,69.450279,70.153595,68.326599,69.595795,55.427967,1356494
2016-02-05,69.296684,69.773643,68.075989,68.116409,54.249748,1600802
2016-02-08,67.720291,68.172997,64.147133,65.254646,51.970566,1812824
2016-02-09,64.818108,65.650764,64.179466,65.020210,51.783855,1850181
2016-02-10,65.319321,66.887634,64.753433,65.561844,52.215229,1574330
2016-02-11,64.559418,65.416328,63.791431,64.793854,51.603577,3202964
2016-02-12,65.359741,65.893288,65.060631,65.586098,52.234547,1574330
2016-02-16,66.232819,66.911880,65.529510,66.628944,53.065083,3244033
2016-02-17,66.693611,67.574776,65.351654,66.790619,53.193855,2428107
2016-02-18,66.701698,68.617622,66.386421,68.148750,54.275517,1535736
2016-02-19,67.784966,69.232010,67.178658,68.730797,54.739059,2554405
2016-02-22,69.248184,70.743736,69.248184,70.582054,56.213463,1459413
2016-02-23,70.177849,71.269203,68.900566,70.056587,55.794956,1469432
2016-02-24,69.708977,70.113174,68.795471,69.401779,55.273449,979704
2016-02-25,70.024254,70.598221,68.973320,69.854485,55.633995,1376781
2016-02-26,69.894905,70.355698,69.514954,69.644302,55.466599,845984
2016-02-29,69.757477,70.743736,69.490700,69.814064,55.601810,1311715
2016-03-01,70.274857,72.182701,70.129349,72.158447,57.468941,1259885
2016-03-02,72.190781,73.071945,72.134193,73.071945,58.196472,685422
2016-03-03,73.330643,73.629745,72.691994,73.629745,58.640720,701132
2016-03-04,73.597412,74.955536,73.443817,74.785774,59.561432,1266441
2016-03-07,74.130959,74.543251,73.702507,74.260307,59.142918,742324
2016-03-08,74.025871,74.090546,72.376717,72.465645,57.713608,1266812
2016-03-09,73.007278,73.330643,72.053352,72.328217,57.604145,972035
2016-03-10,72.861763,72.861763,70.962006,71.738075,57.134144,938388
2016-03-11,72.522232,74.438156,71.964432,74.365402,59.226612,876538
2016-03-14,74.033951,74.349236,72.780922,73.920776,58.872509,673670
2016-03-15,73.362976,74.090546,73.144707,73.993530,58.930466,570257
2016-03-16,73.645920,75.367828,73.532738,75.214226,59.902653,539703
2016-03-17,75.311234,76.265160,75.012123,75.941795,60.482079,868003
2016-03-18,76.038803,76.685532,75.513336,75.537590,60.160168,1513222
2016-03-21,75.416328,75.990295,74.704933,74.915115,59.664433,833120
2016-03-22,74.753433,75.068718,74.324982,74.721100,59.509899,694452
2016-03-23,74.672592,75.198059,73.670174,73.702507,58.698673,836459
2016-03-24,73.201294,73.831848,72.708168,73.775261,58.756603,688885
2016-03-28,73.839935,74.793854,73.492317,74.551331,59.374702,589678
2016-03-29,74.373482,76.386421,73.670174,76.354080,60.810463,758281
2016-03-30,76.467262,76.855293,75.893288,75.966049,60.501423,669588
2016-03-31,75.949883,76.499596,75.772026,76.337914,60.797573,962757
2016-04-01,75.941795,76.936134,75.602264,76.564270,60.977856,853159
2016-04-04,76.564270,77.057396,76.564270,76.717865,61.100201,645096
2016-04-05,76.370255,76.806793,75.982216,76.143898,60.643055,822976
2016-04-06,76.030716,77.033142,75.141472,76.871460,61.222511,762116
2016-04-07,76.540016,76.693611,75.262733,75.747780,60.327576,602666
2016-04-08,76.208572,77.227165,76.208572,76.548103,60.964996,481193
2016-04-11,76.992722,77.413094,76.434921,76.499596,60.926342,581761
2016-04-12,77.081650,78.860146,77.008888,78.326599,62.381428,1587813
2016-04-13,78.714630,78.738884,77.356506,77.639450,61.834175,1148926
